ordering_case,gap_id,candidate_created,rejection_reason,matches_reference,tangent_axis_matches_reference,representation_case
ORIGINAL,0,True,NONE,True,True,False
ORIGINAL,1,False,NO_INCIDENT_WALL_SUPPORT_ALONG_GAP_TANGENT,True,True,False
ORIGINAL,2,True,NONE,True,True,False
REVERSED_SEGMENTS_AND_GAPS,0,True,NONE,True,True,False
REVERSED_SEGMENTS_AND_GAPS,1,False,NO_INCIDENT_WALL_SUPPORT_ALONG_GAP_TANGENT,True,True,False
REVERSED_SEGMENTS_AND_GAPS,2,True,NONE,True,True,False
REVERSED_GAPS,0,True,NONE,True,True,False
REVERSED_GAPS,1,False,NO_INCIDENT_WALL_SUPPORT_ALONG_GAP_TANGENT,True,True,False
REVERSED_GAPS,2,True,NONE,True,True,False
DETERMINISTIC_SHUFFLE,0,True,NONE,True,True,False
DETERMINISTIC_SHUFFLE,1,False,NO_INCIDENT_WALL_SUPPORT_ALONG_GAP_TANGENT,True,True,False
DETERMINISTIC_SHUFFLE,2,True,NONE,True,True,False
MOUTH_ENDPOINTS_SWAPPED,0,True,NONE,True,True,True
MOUTH_ENDPOINTS_SWAPPED,1,False,NO_INCIDENT_WALL_SUPPORT_ALONG_GAP_TANGENT,True,True,True
MOUTH_ENDPOINTS_SWAPPED,2,True,NONE,True,True,True
